Site,ER,Year,Day
Pelagic,-2.51,2016,58
Pelagic,-2.63,2016,59
Pelagic,-2.41,2016,60
Pelagic,-1.95,2016,61
Pelagic,-2.99,2019,1
Pelagic,-2.49,2019,2
Pelagic,-2.79,2019,3
Pelagic,-2.31,2019,4
Pelagic,-1.73,2019,5
Pelagic,-1.87,2019,6
Pelagic,-1.33,2019,7
Pelagic,-1.69,2019,8
Pelagic,-1.71,2019,9
Pelagic,-1.51,2019,10
Pelagic,-2.08,2019,11
Pelagic,-2.83,2019,12
Pelagic,-3.5,2019,13
Pelagic,-2.51,2019,14
Pelagic,-2.48,2019,15
Pelagic,-3.64,2019,16
Pelagic,-2.31,2019,17
Pelagic,-3,2019,18
Pelagic,-2.12,2019,19
Pelagic,-2.35,2019,20
Pelagic,-2.75,2019,21
Pelagic,-3.03,2019,22
Pelagic,-2.97,2019,23
Pelagic,-3.7,2019,24
Pelagic,-3.79,2019,25
Pelagic,-4.24,2019,26
Pelagic,-2.8,2019,27
Pelagic,-4.91,2019,28
Pelagic,-3.78,2019,29
Pelagic,-3.52,2019,30
Pelagic,-3.64,2019,31
Pelagic,-3.39,2019,32
Pelagic,-2.81,2019,33
Pelagic,-2.36,2019,34
Pelagic,-2.02,2019,35
Pelagic,-2.7,2019,36
Pelagic,-1.86,2019,37
Pelagic,-2,2019,38
Pelagic,-1.86,2019,39
Pelagic,-1.5,2019,40
Pelagic,-1.44,2019,41
Pelagic,-1.48,2019,42
Pelagic,-1.74,2019,43
Pelagic,-2,2019,44
Pelagic,-2.1,2019,45
Pelagic,-2.08,2019,46
Pelagic,-1.66,2019,47
Pelagic,-1.29,2019,48
Pelagic,-1.36,2019,49
Pelagic,-1.48,2019,50
Pelagic,-1.63,2019,51
Pelagic,-1.73,2019,52
Pelagic,-1.74,2019,53
Pelagic,-1.74,2019,54
Pelagic,-1.97,2019,55
Pelagic,-1.97,2019,56
Pelagic,-2.23,2019,57
Pelagic,-2.04,2019,58
Pelagic,-1.48,2019,59
Pelagic,-1.08,2019,60
Pelagic,-0.96,2019,61
