Site,GPP,Year,Day,ID
Pelagic,3.3,2019,17,
Pelagic,4.2,2019,18,
Pelagic,4.4,2019,19,
Pelagic,4.2,2019,20,
Pelagic,4.3,2019,21,
Pelagic,4.4,2019,22,
Pelagic,4.5,2019,23,
Pelagic,4.6,2019,24,
Pelagic,4.6,2019,25,
Pelagic,4.5,2019,26,
Pelagic,4.6,2019,27,
Pelagic,4.5,2019,28,
Pelagic,4.5,2019,29,
Pelagic,4.4,2019,30,
Pelagic,4.1,2019,31,
Pelagic,4,2019,32,
Pelagic,3.8,2019,33,
Pelagic,3.8,2019,34,
Pelagic,3.7,2019,35,
Pelagic,4.3,2019,36,
Pelagic,4.6,2019,37,
Pelagic,4,2019,38,
Pelagic,2.9,2019,39,
Pelagic,2.8,2019,40,
Pelagic,2.5,2019,41,
Pelagic,2.8,2019,42,
Pelagic,3.1,2019,43,
Pelagic,3.3,2019,44,
Pelagic,3.3,2019,45,
Pelagic,3.4,2019,46,
Pelagic,2.9,2019,47,
Pelagic,3.3,2019,48,
Pelagic,2.7,2019,49,
Pelagic,3.7,2019,50,
Pelagic,4.5,2019,51,
Pelagic,4.3,2019,52,
Pelagic,2.5,2019,53,
Pelagic,3.7,2019,54,
Pelagic,3.5,2019,55,
Pelagic,3.4,2019,56,
Pelagic,3.4,2019,57,
Pelagic,2.6,2019,58,
Pelagic,2.4,2019,59,
Pelagic,1.7,2019,60,
Pelagic,2.3,2019,61,
